fl16y,assoc,class_5FGL,class_Firmamiento,class_Paliya,class_Foschini
FL16Y J1012.2+0631,NRAO 350,bll,bll,None,amb
FL16Y J1012.7+4229,B3 1009+427,bll,bll,None,mis
FL16Y J1018.1+0711,GB6 J1018+0715,bcu,bcu,None,fsrq
FL16Y J1021.9+5124,MS 1019.0+5139,bll,bcu,None,amb
FL16Y J1024.8+2333,MG2 J102456+2332,bll,bll,None,sey
FL16Y J1027.2+7427,GB6 J1027+7428,bcu,bcu,None,fsrq
FL16Y J1031.3+7441,S5 1027+74,bll,bcu,None,fsrq
FL16Y J1035.4+5543,GB6 J1035+5542,bcu,bcu,None,bll
FL16Y J1037.1-2934,PKS 1034-293,fsrq,fsrq,None,clagn
FL16Y J1039.7+0535,NVSS J103940+053608,bcu,bcu,None,bll
FL16Y J1043.1+2408,B2 1040+24A,fsrq,fsrq,None,clagn
FL16Y J1046.2+5450,7C 1043+5505,bcu,bcu,None,amb
FL16Y J1048.0+0058,TXS 1045+011,bcu,bcu,None,amb
FL16Y J1048.4-1911,PKS 1045-18,fsrq,fsrq,None,nls1
FL16Y J1053.7+4930,GB6 J1053+4930,bll,bcu,None,mis
FL16Y J1054.3+3925,CRATES J105433+392803,bcu,bcu,None,fsrq
FL16Y J1058.4+0133,4C +01.28,bll,bcu,None,fsrq
FL16Y J1103.0+5250,GB6 J1102+5249,fsrq,bcu,None,nls1
FL16Y J1121.2-0011,MGC 0019706,rdg,bcu,rdg,mis
FL16Y J1124.0+2336,OM 235,fsrq,fsrq,None,clagn
FL16Y J1124.5+2308,CRATES J112431+230745,bcu,bcu,None,bll
FL16Y J1125.9+2005,4C +20.25,fsrq,bcu,None,amb
FL16Y J1129.2-0529,NVSS J112914-052856,bcu,bcu,None,fsrq
FL16Y J1129.6+3035,87GB 112657.9+305242,bcu,bcu,None,bll
FL16Y J1131.4-0500,PKS 1128-047,bcu,bcu,None,mis
FL16Y J1136.8+2551,RX J1136.8+2551,bll,bcu,None,sey
FL16Y J1138.6+4032,CRATES J113903+403303,bcu,bcu,None,fsrq
FL16Y J1145.0+1936,3C 264,rdg,bcu,rdg,mis
FL16Y J1145.7+4422,B3 1143+446A,fsrq,bcu,None,sey
FL16Y J1146.4-3330,PKS 1143-331,rdg,bcu,rdg,fsrq
FL16Y J1146.5-2901,PKS 1143-287,fsrq,fsrq,None,bll
FL16Y J1148.9+5924,NGC 3894,rdg,bcu,None,mis
FL16Y J1153.3-1104,PKS B1150-108,bcu,bcu,None,fsrq
FL16Y J1153.8+3822,B3 1151+386,bll,bll,None,sey
FL16Y J1153.9+4036,B3 1151+408,fsrq,fsrq,None,nls1
FL16Y J1159.2-2228,PKS 1156-221,bcu,bcu,None,fsrq
FL16Y J1201.1-0333,NVSS J120111-033219,bcu,bcu,None,amb
FL16Y J1202.3+4443,B3 1159+450,bll,bll,rdg,bll
FL16Y J1202.5-0529,PKS 1200-051,fsrq,fsrq,None,nls1
FL16Y J1203.0+6030,SBS 1200+608,bll,bll,None,sey
FL16Y J1203.2+1118,TXS 1200+115,bcu,bcu,None,fsrq
FL16Y J1205.6-2635,PKS 1203-26,fsrq,fsrq,rdg,fsrq
FL16Y J1205.7+3323,SDSS J120542.82+332146.9,bcu,bcu,None,fsrq
FL16Y J1208.5+6121,RGB J1208+613,bll,bcu,None,mis
FL16Y J1208.9+5441,TXS 1206+549,fsrq,fsrq,None,nls1
FL16Y J1214.6-1925,PKS B1211-190,bcu,bcu,None,nls1
FL16Y J1216.1+0929,TXS 1213+097,bll,bcu,rdg,sey
FL16Y J1219.4+0549,NGC 4261,rdg,bcu,rdg,mis
FL16Y J1220.1+7105,S5 1217+71,fsrq,fsrq,None,amb
FL16Y J1224.9+4335,B3 1222+438,bll,bll,None,amb
FL16Y J1230.8+1223,M 87,rdg,bcu,rdg,mis
FL16Y J1233.8+5027,TXS 1231+507,bll,bcu,rdg,amb
FL16Y J1241.4+4236,B3 1239+429,bcu,bcu,None,bll
FL16Y J1243.0+3950,SDSS J124318.91+395117.7,bcu,bcu,None,amb
FL16Y J1243.8-0218,PMN J1243-0218,bcu,bcu,None,bll
FL16Y J1246.7-2548,PKS 1244-255,fsrq,fsrq,None,nls1
FL16Y J1248.8+4841,87GB 124632.9+485605,bcu,bcu,None,fsrq
FL16Y J1259.1-2311,PKS B1256-229,bll,bcu,None,fsrq
FL16Y J1302.7+6905,TXS 1300+693,bcu,bcu,None,amb
FL16Y J1302.8+5747,TXS 1300+580,bll,bcu,None,clagn
FL16Y J1305.7+3858,2MASS J13053124+3855218,bll,bll,rdg,mis
FL16Y J1306.4+1114,TXS 1303+114,rdg,bcu,rdg,mis
FL16Y J1306.7-2148,PKS 1304-215,rdg,bcu,rdg,mis
FL16Y J1310.7+2448,CRATES J131038.52+244822.1,bll,bcu,rdg,bll
FL16Y J1310.8+5514,TXS 1308+554,fsrq,fsrq,None,nls1
FL16Y J1312.6+4828,GB 1310+487,bcu,bcu,None,amb
FL16Y J1319.6-0046,PKS B1317-005,bcu,bcu,None,mis
FL16Y J1322.2+0843,NVSS J132210+084231,fsrq,bcu,None,clagn
FL16Y J1323.0+2941,4C +29.48,bcu,bcu,None,fsrq
FL16Y J1325.5-4301,Cen A,rdg,bcu,rdg,mis
